REGIÃO:;CO
UF:;MS
ESTACÃO:;FATIMA DO SUL
CODIGO (WMO):;S708
LATITUDE:;/22.30861111
LONGITUDE:;/54.32583332
ALTITUDE:;340
DATA DE FUNDACÃO (YYYY/MM/DD):;2018/02/28
DATA (YYYY/MM/DD);HORA (UTC);PRECIPITACÃO TOTAL. HORARIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (W/m²);TEMPERATURA DO AR / BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MINIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIRECÃO HORARIA (gr) (grau (gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s);
2018/02/28;00:00;;;;;;;;;;;;;;;;;;
2018/02/28;01:00;;;;;;;;;;;;;;;;;;
2018/02/28;02:00;;;;;;;;;;;;;;;;;;
2018/02/28;03:00;;;;;;;;;;;;;;;;;;
2018/02/28;04:00;;;;;;;;;;;;;;;;;;
2018/02/28;05:00;;;;;;;;;;;;;;;;;;
2018/02/28;06:00;;;;;;;;;;;;;;;;;;
2018/02/28;07:00;;;;;;;;;;;;;;;;;;
2018/02/28;08:00;;;;;;;;;;;;;;;;;;
2018/02/28;09:00;;;;;;;;;;;;;;;;;;
2018/02/28;10:00;;;;;;;;;;;;;;;;;;
2018/02/28;11:00;;;;;;;;;;;;;;;;;;
2018/02/28;12:00;;;;;;;;;;;;;;;;;;
2018/02/28;13:00;;;;;;;;;;;;;;;;;;
2018/02/28;14:00;;;;;;;;;;;;;;;;;;
2018/02/28;15:00;2;973.4;973.9;973.4;1539.8;;;;;;;9;;;;;;
2018/02/28;16:00;.2;972;973.4;971.9;2693.6;31.3;21.1;32.1;29.5;22.4;;63;;55;357;;3.9;
2018/02/28;17:00;0;970.4;972;970.4;3607.3;32.9;21.4;33.1;31.1;22.5;20.6;57;49;51;342;7.9;4.1;
2018/02/28;18:00;0;970;970.5;969.9;2959.3;33.2;20.2;34;31.8;21.7;19.8;54;45;47;354;7.6;3.2;
2018/02/28;19:00;.4;969.4;970;969.4;1201.1;32.4;21.3;33.1;28.1;24.5;19.9;78;47;52;320;9.3;2.9;
2018/02/28;20:00;0;969.7;969.7;969.4;914.2;28;21.8;32.4;28;21.9;19.9;69;50;69;280;10.3;4;
2018/02/28;21:00;0;970.5;970.5;969.7;669.3;27.1;21.9;28.4;26.8;24;21.6;82;68;73;157;7.3;3;
2018/02/28;22:00;;;;;;;;;;;;;;;;;;
2018/02/28;23:00;;;;;;;;;;;;;;;;;;
2018/03/01;00:00;;;;;;;;;;;;;;;;;;
2018/03/01;01:00;;;;;;;;;;;;;;;;;;
2018/03/01;02:00;;;;;;;;;;;;;;;;;;
2018/03/01;03:00;;;;;;;;;;;;;;;;;;
2018/03/01;04:00;;;;;;;;;;;;;;;;;;
2018/03/01;05:00;;;;;;;;;;;;;;;;;;
2018/03/01;06:00;;;;;;;;;;;;;;;;;;
2018/03/01;07:00;;;;;;;;;;;;;;;;;;
2018/03/01;08:00;;;;;;;;;;;;;;;;;;
2018/03/01;09:00;;;;;;;;;;;;;;;;;;
2018/03/01;10:00;;;;;;;;;;;;;;;;;;
2018/03/01;11:00;0;975.3;975.3;974;345.2;22.5;21.3;22.6;21.4;21.6;20.8;97;93;93;95;1.5;.6;
2018/03/01;12:00;0;976.1;976.1;975.3;995.4;24.1;22.2;24.1;22.5;22.4;21.3;94;86;89;15;3.3;1.5;
2018/03/01;13:00;0;976.3;976.4;976.1;1688.4;25.9;22.3;25.9;23.9;22.3;21.3;90;80;80;66;3.5;1.2;
2018/03/01;14:00;0;975.9;976.3;975.9;2991;28.4;23;28.5;25.7;23.4;21.8;81;73;73;33;4.7;1.4;
2018/03/01;15:00;0;975.4;975.9;975.4;3551.1;29.5;22.8;29.8;27.7;23.8;22.1;76;66;67;50;4.8;2.1;
2018/03/01;16:00;0;975;975.4;975;2329.8;29.8;22.9;30.1;29.4;23.4;22;69;64;66;342;5.4;2.4;
2018/03/01;17:00;0;973.7;975;973.7;2757.2;31.2;22;31.5;29.6;23.6;21.6;68;58;58;42;5.9;2.1;
2018/03/01;18:00;0;972.8;973.7;972.8;2707.7;31.4;21.8;32.8;31.2;23;21.1;60;52;57;21;5.9;2.3;
2018/03/01;19:00;0;972.7;972.8;972.3;410.8;28.1;21.9;31.5;28.1;22.9;21.1;69;54;69;184;5.8;1.9;
2018/03/01;20:00;0;972.3;972.8;972.3;372.1;26.9;22.6;28.1;26.4;22.8;21.7;80;69;77;171;7.8;1.5;
2018/03/01;21:00;0;973.3;973.3;972.2;470.4;26.9;22.2;27.8;26.6;23;22.1;78;74;76;324;6.6;1.8;
2018/03/01;22:00;0;974.8;975;973.3;37.6;24.1;22;26.9;24;23;21.9;90;74;88;226;11.1;5.3;
2018/03/01;23:00;2.2;975.5;975.5;974.4;;22.8;21.8;24.1;22.2;22.2;20.8;94;88;94;211;11.1;2.1;
2018/03/02;00:00;0;975.5;975.6;975.2;;23.3;21.9;23.3;22.8;22.1;21.8;95;92;92;135;4.4;.8;
2018/03/02;01:00;0;976.1;976.3;975.5;;23.1;22.1;23.3;23;22.3;21.9;95;92;94;148;2.6;1.1;
2018/03/02;02:00;0;976.4;976.4;975.9;;22.9;21.8;23.1;22.8;22.1;21.7;95;93;94;111;3.1;1.1;
2018/03/02;03:00;0;976.2;976.6;976.2;;22.5;21.6;23;22.5;21.9;21.5;96;92;95;18;2.5;.6;
2018/03/02;04:00;0;976.3;976.5;976.1;;22.3;21.6;22.6;22.3;21.9;21.5;96;94;96;42;1.9;1.7;
2018/03/02;05:00;0;975.9;976.3;975.9;;22.3;21.6;22.3;22.1;21.8;21.5;97;96;96;25;2.3;1.1;
2018/03/02;06:00;0;976;976.2;975.9;;22.3;21.6;22.3;22.3;21.7;21.5;96;95;96;31;2.1;.4;
2018/03/02;07:00;0;975.6;976;975.6;;22.5;21.9;22.5;22.3;21.9;21.6;97;96;96;141;1.5;.4;
2018/03/02;08:00;0;975.5;975.6;975.5;;22.4;21.8;22.6;22.4;22;21.7;97;96;96;166;2.3;1.3;
2018/03/02;09:00;0;975.7;975.7;975.4;;22.5;21.8;22.5;22.4;21.8;21.7;97;96;96;167;2.7;1.4;
2018/03/02;10:00;0;976;976;975.7;26.7;22.7;21.9;22.7;22.5;21.9;21.7;96;94;95;155;2.5;1.3;
2018/03/02;11:00;0;976.6;976.6;976;282.6;23.3;22.1;23.3;22.7;22.2;21.8;95;93;93;159;2.1;1.1;
2018/03/02;12:00;0;977;977;976.6;687.9;24.5;22.5;24.5;23.3;22.7;22.1;93;88;89;296;1.8;.7;
2018/03/02;13:00;0;977;977.1;977;1672.9;26.7;22.6;26.7;24.5;23.2;22.2;90;78;79;220;2;.8;
2018/03/02;14:00;0;977.1;977.2;977;2455.8;28;22.2;28.3;26.5;23.3;21.7;79;71;71;359;5.5;2.9;
2018/03/02;15:00;0;976.6;977.1;976.6;2743.3;29.4;23.3;29.4;27.7;23.8;21.6;76;68;70;9;5.5;1.9;
2018/03/02;16:00;0;975.7;976.6;975.7;3712.9;31.3;22.6;31.5;29.4;23.6;21.3;70;58;60;354;4.6;2.3;
2018/03/02;17:00;0;974.4;975.7;974.4;3888.5;32.2;22.2;32.6;30.9;23.3;21.1;61;52;56;288;5.1;2.4;
2018/03/02;18:00;0;973.1;974.4;973.1;2638;32.4;21.8;34;31.9;23.8;21.4;59;50;54;334;5.2;2.1;
2018/03/02;19:00;0;972.2;973.1;972.1;1532.5;30.5;21.9;33.1;29.3;22.6;20.7;66;50;60;346;12.1;5;
2018/03/02;20:00;1.6;974.3;974.3;972.1;871.1;22.9;21.7;30.8;22.9;23.1;21.2;93;59;93;250;10.9;4.8;
2018/03/02;21:00;3.2;974.2;974.6;974.2;143.7;23.4;22.1;23.6;22.5;22.6;21.6;96;92;92;117;10.5;3.4;
2018/03/02;22:00;.2;973.2;974.2;973.2;51.7;23.5;21.9;23.6;23.4;22.2;21.7;93;89;91;127;5.9;2.7;
2018/03/02;23:00;0;973.7;973.7;973;;23.1;22;23.6;23;22.2;21.7;94;90;93;310;3.9;.8;
2018/03/03;00:00;0;974.8;974.8;973.7;;23.5;22.6;23.6;23.1;22.6;21.9;95;93;95;51;2.4;1.2;
2018/03/03;01:00;0;975.5;975.5;974.8;;23.2;21.8;23.5;23.1;22.5;21.7;95;91;92;118;2.2;1.1;
2018/03/03;02:00;0;975.9;975.9;975.5;;22.9;22.1;23.2;22.8;22.2;21.7;96;92;96;226;2;.9;
2018/03/03;03:00;0;975.9;976;975.8;;23.2;22.2;23.3;22.8;22.3;22.1;96;93;94;200;2.3;1.1;
2018/03/03;04:00;0;975.5;975.9;975.4;;23.2;22.6;23.2;23.1;22.6;22.2;96;94;96;230;2.9;1.5;
