REGIÃO:;CO
UF:;MS
ESTACÃO:;CAMAPUA
CODIGO (WMO):;S707
LATITUDE:;/19.58749999
LONGITUDE:;/54.02999999
ALTITUDE:;540
DATA DE FUNDACÃO (YYYY/MM/DD):;2018/02/19
DATA (YYYY/MM/DD);HORA (UTC);PRECIPITACÃO TOTAL. HORARIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (W/m²);TEMPERATURA DO AR / BULBO SECO. HORARIA (C);TEMPERATURA DO PONTO DE ORVALHO (C);TEMPERATURA MAXIMA NA HORA ANT. (AUT) (C);TEMPERATURA MINIMA NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIRECÃO HORARIA (gr) (grau (gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s);
2018/02/19;00:00;;;;;;;;;;;;;;;;;;
2018/02/19;01:00;;;;;;;;;;;;;;;;;;
2018/02/19;02:00;;;;;;;;;;;;;;;;;;
2018/02/19;03:00;;;;;;;;;;;;;;;;;;
2018/02/19;04:00;;;;;;;;;;;;;;;;;;
2018/02/19;05:00;;;;;;;;;;;;;;;;;;
2018/02/19;06:00;;;;;;;;;;;;;;;;;;
2018/02/19;07:00;;;;;;;;;;;;;;;;;;
2018/02/19;08:00;;;;;;;;;;;;;;;;;;
2018/02/19;09:00;;;;;;;;;;;;;;;;;;
2018/02/19;10:00;;;;;;;;;;;;;;;;;;
2018/02/19;11:00;;;;;;;;;;;;;;;;;;
2018/02/19;12:00;;;;;;;;;;;;;;;;;;
2018/02/19;13:00;;;;;;;;;;;;;;;;;;
2018/02/19;14:00;.4;949.6;949.9;949.6;793;22.4;21.2;22.9;22.2;22.3;21.1;97;92;93;357;11.4;6.3;
2018/02/19;15:00;0;949.6;950.1;949.6;523.8;23.1;21.7;23.1;22.4;21.7;21.2;94;92;92;352;8.7;5.5;
2018/02/19;16:00;0;949.1;949.6;949.1;1703.8;25.4;22.4;25.4;23.1;22.8;21.4;92;82;83;317;8.3;4.2;
