REGIAO;ANO;MES;PRECIPITACAO TOTAL
bolsao;2019;1;946.400000000002
bolsao;2014;1;581.2000000000002
bolsao;2013;1;870.0000000000014
bolsao;2018;1;892.2000000000007
bolsao;2017;1;1374.000000000003
bolsao;2012;1;1336.2000000000053
bolsao;2016;1;701.4000000000019
bolsao;2010;1;612.9999999999998
bolsao;2011;1;990.2000000000008
bolsao;2015;1;495.1999999999982
bolsao;2013;2;770.1999999999987
bolsao;2012;2;697.8000000000004
bolsao;2015;2;797.600000000003
bolsao;2019;2;1395.4000000000049
bolsao;2017;2;562.9999999999994
bolsao;2014;2;676.1999999999998
bolsao;2010;2;356.99999999999966
bolsao;2018;2;412.3999999999996
bolsao;2016;2;409.7999999999996
bolsao;2011;2;608.8
bolsao;2018;3;310.7999999999994
bolsao;2015;3;721.8000000000028
bolsao;2013;3;623.1999999999997
bolsao;2014;3;1113.600000000001
bolsao;2017;3;640.4000000000002
bolsao;2011;3;945.4000000000016
bolsao;2019;3;955.2000000000022
bolsao;2010;3;69.40000000000003
bolsao;2016;3;247.3999999999993
bolsao;2012;3;608.9999999999995
bolsao;2015;4;344.39999999999975
bolsao;2011;4;357.79999999999956
bolsao;2013;4;318.79999999999984
bolsao;2018;4;170.79999999999995
bolsao;2016;4;240.99999999999963
bolsao;2010;4;95.60000000000002
bolsao;2017;4;373.79999999999967
bolsao;2012;4;481.79999999999956
bolsao;2019;4;858.0000000000015
bolsao;2014;4;294.19999999999965
bolsao;2014;5;169.00000000000003
bolsao;2011;5;81.40000000000006
bolsao;2012;5;456.1999999999996
bolsao;2017;5;412.3999999999997
bolsao;2018;5;147.0
bolsao;2015;5;569.6000000000004
bolsao;2010;5;25.599999999999987
bolsao;2019;5;405.7999999999996
bolsao;2016;5;551.3999999999996
bolsao;2013;5;78.20000000000003
bolsao;2016;6;137.0
bolsao;2018;6;13.2
bolsao;2017;6;23.199999999999996
bolsao;2019;6;107.00000000000006
bolsao;2012;6;648.6000000000001
bolsao;2011;6;157.80000000000007
bolsao;2010;6;11.400000000000002
bolsao;2014;6;47.80000000000001
bolsao;2015;6;145.20000000000002
bolsao;2013;6;404.39999999999895
bolsao;2017;7;0.0
bolsao;2010;7;3.8000000000000007
bolsao;2016;7;16.199999999999996
bolsao;2013;7;100.4000000000001
bolsao;2012;7;28.799999999999994
bolsao;2014;7;515.3999999999995
bolsao;2015;7;243.19999999999987
bolsao;2011;7;5.4
bolsao;2018;7;0.4
bolsao;2019;7;197.59999999999997
bolsao;2011;8;44.19999999999999
bolsao;2014;8;0.0
bolsao;2017;8;118.40000000000006
bolsao;2018;8;158.59999999999997
bolsao;2010;8;3.4
bolsao;2015;8;82.80000000000003
bolsao;2013;8;0.6000000000000001
bolsao;2019;8;163.80000000000004
bolsao;2012;8;0.6
bolsao;2016;8;114.4000000000002
bolsao;2012;9;397.39999999999975
bolsao;2010;9;104.40000000000005
bolsao;2018;9;704.9999999999997
bolsao;2017;9;57.00000000000003
bolsao;2019;9;311.19999999999976
bolsao;2013;9;263.7999999999995
bolsao;2015;9;471.3999999999992
bolsao;2011;9;46.0
bolsao;2014;9;343.99999999999943
bolsao;2016;9;124.00000000000028
bolsao;2018;10;1311.0000000000023
bolsao;2012;10;225.3999999999999
bolsao;2015;10;493.99999999999955
bolsao;2017;10;429.3999999999997
bolsao;2016;10;135.00000000000006
bolsao;2013;10;555.8000000000001
bolsao;2014;10;243.9999999999997
bolsao;2010;10;459.5999999999997
bolsao;2011;10;750.6000000000005
bolsao;2019;10;498.1999999999998
bolsao;2016;11;292.1999999999996
bolsao;2010;11;436.5999999999997
bolsao;2012;11;603.4000000000001
bolsao;2017;11;960.8000000000003
bolsao;2018;11;1583.8000000000043
bolsao;2015;11;1055.0000000000011
bolsao;2013;11;437.39999999999935
bolsao;2019;11;960.4000000000018
bolsao;2014;11;934.0000000000027
bolsao;2011;11;674.4000000000001
bolsao;2016;12;747.6000000000004
bolsao;2012;12;797.6000000000004
bolsao;2010;12;791.4000000000001
bolsao;2014;12;708.4000000000058
bolsao;2011;12;660.4000000000002
bolsao;2018;12;1004.0000000000027
bolsao;2013;12;901.0000000000018
bolsao;2019;12;1525.6000000000026
bolsao;2017;12;1027.8000000000022
bolsao;2015;12;1000.0000000000009
