REGIAO;ANO;MES;PRECIPITACAO TOTAL
leste;2013;1;85.20000000000002
leste;2017;1;387.39999999999947
leste;2012;1;130.00000000000003
leste;2010;1;239.19999999999993
leste;2019;1;613.3999999999997
leste;2015;1;394.59999999999985
leste;2011;1;205.39999999999995
leste;2014;1;62.20000000000002
leste;2018;1;239.99999999999972
leste;2016;1;11.799999999999999
leste;2012;2;133.60000000000002
leste;2014;2;252.59999999999974
leste;2015;2;336.0000000000001
leste;2017;2;236.79999999999998
leste;2011;2;287.99999999999994
leste;2010;2;149.2
leste;2018;2;241.79999999999987
leste;2013;2;196.20000000000005
leste;2016;2;156.2
leste;2019;2;622.9999999999999
leste;2017;3;252.99999999999997
leste;2018;3;347.19999999999965
leste;2013;3;177.20000000000002
leste;2010;3;90.4
leste;2016;3;76.80000000000001
leste;2019;3;333.1999999999998
leste;2015;3;182.2
leste;2012;3;75.39999999999999
leste;2011;3;140.79999999999995
leste;2014;3;292.99999999999983
leste;2013;4;251.6
leste;2014;4;144.79999999999998
leste;2012;4;143.0
leste;2011;4;248.99999999999994
leste;2017;4;214.1999999999999
leste;2016;4;59.400000000000006
leste;2018;4;29.599999999999998
leste;2010;4;61.600000000000016
leste;2015;4;61.8
leste;2019;4;86.80000000000008
leste;2016;5;132.80000000000004
leste;2010;5;106.60000000000001
leste;2014;5;180.59999999999988
leste;2017;5;314.7999999999997
leste;2012;5;86.20000000000005
leste;2018;5;153.0
leste;2019;5;113.60000000000008
leste;2013;5;102.00000000000004
leste;2011;5;8.4
leste;2015;5;103.60000000000005
leste;2015;6;11.000000000000002
leste;2017;6;112.60000000000002
leste;2010;6;6.800000000000001
leste;2014;6;61.60000000000002
leste;2013;6;269.5999999999999
leste;2012;6;273.7999999999999
leste;2011;6;71.60000000000001
leste;2019;6;98.80000000000007
leste;2016;6;39.00000000000001
leste;2018;6;129.2
leste;2010;7;42.60000000000001
leste;2019;7;135.39999999999998
leste;2012;7;16.2
leste;2013;7;44.400000000000006
leste;2018;7;0.2
leste;2016;7;38.00000000000001
leste;2011;7;0.2
leste;2017;7;0.0
leste;2014;7;238.59999999999974
leste;2015;7;115.60000000000004
leste;2019;8;4.799999999999999
leste;2015;8;10.799999999999999
leste;2012;8;4.4
leste;2018;8;412.59999999999945
leste;2017;8;208.59999999999997
leste;2010;8;7.0
leste;2016;8;171.79999999999993
leste;2011;8;0.0
leste;2014;8;23.199999999999992
leste;2013;8;2.4
leste;2018;9;652.0000000000003
leste;2014;9;309.7999999999999
leste;2010;9;298.40000000000003
leste;2013;9;235.00000000000003
leste;2012;9;117.19999999999999
leste;2016;9;64.39999999999999
leste;2011;9;57.2
leste;2017;9;16.8
leste;2015;9;352.2
leste;2019;9;112.80000000000001
leste;2013;10;220.19999999999993
leste;2011;10;211.80000000000004
leste;2015;10;358.1999999999996
leste;2019;10;160.99999999999991
leste;2018;10;1354.200000000003
leste;2016;10;123.4
leste;2014;10;189.99999999999994
leste;2010;10;110.40000000000002
leste;2012;10;98.40000000000003
leste;2017;10;315.19999999999993
leste;2010;11;173.39999999999998
leste;2013;11;184.79999999999998
leste;2012;11;158.4
leste;2011;11;168.19999999999996
leste;2015;11;411.7999999999994
leste;2017;11;362.5999999999997
leste;2016;11;108.80000000000003
leste;2019;11;321.3999999999996
leste;2018;11;553.7999999999997
leste;2014;11;331.9999999999999
leste;2014;12;238.5999999999999
leste;2013;12;213.20000000000007
leste;2018;12;421.5999999999996
leste;2015;12;69.40000000000002
leste;2016;12;325.7999999999998
leste;2011;12;111.80000000000003
leste;2017;12;418.39999999999947
leste;2010;12;209.3999999999999
leste;2012;12;152.40000000000006
leste;2019;12;661.2000000000005
