REGIAO;ANO;MES;PRECIPITACAO TOTAL
norte;2018;1;637.9999999999995
norte;2013;1;1035.6000000000017
norte;2014;1;663.6000000000008
norte;2017;1;195.3999999999988
norte;2012;1;248.99999999999915
norte;2011;1;251.1999999999997
norte;2016;1;1164.000000000006
norte;2015;1;420.1999999999985
norte;2019;1;903.0000000000007
norte;2010;1;294.2
norte;2017;2;28.599999999999934
norte;2013;2;1064.8000000000018
norte;2011;2;0
norte;2014;2;805.8000000000009
norte;2018;2;952.8000000000012
norte;2012;2;57.60000000000018
norte;2019;2;1128.2000000000023
norte;2015;2;474.5999999999977
norte;2016;2;356.9999999999983
norte;2010;2;244.19999999999996
norte;2014;3;832.6000000000003
norte;2016;3;353.9999999999994
norte;2019;3;658.2
norte;2013;3;789.8
norte;2015;3;474.7999999999997
norte;2017;3;23.599999999999955
norte;2011;3;147.39999999999984
norte;2012;3;156.39999999999947
norte;2018;3;843.5999999999997
norte;2010;3;43.8
norte;2018;4;513.5999999999997
norte;2015;4;267.79999999999984
norte;2013;4;269.59999999999957
norte;2019;4;409.5999999999994
norte;2014;4;309.3999999999997
norte;2016;4;180.99999999999991
norte;2011;4;142.80000000000007
norte;2012;4;170.3999999999994
norte;2017;4;32.59999999999994
norte;2010;4;17.0
norte;2011;5;3.0000000000000004
norte;2016;5;153.19999999999993
norte;2012;5;190.79999999999885
norte;2013;5;91.40000000000008
norte;2017;5;267.9999999999997
norte;2015;5;555.9999999999999
norte;2014;5;250.19999999999982
norte;2019;5;83.40000000000006
norte;2010;5;25.0
norte;2018;5;259.3999999999997
norte;2016;6;95.60000000000007
norte;2013;6;325.9999999999995
norte;2012;6;128.20000000000002
norte;2010;6;0.2
norte;2015;6;37.20000000000005
norte;2017;6;57.80000000000003
norte;2018;6;13.399999999999988
norte;2019;6;28.999999999999993
norte;2014;6;163.3999999999999
norte;2011;6;55.40000000000002
norte;2019;7;14.6
norte;2017;7;1.0
norte;2011;7;0.4
norte;2012;7;1.7999999999999998
norte;2013;7;136.0
norte;2018;7;1.9999999999999998
norte;2010;7;0.0
norte;2014;7;576.1999999999998
norte;2016;7;3.0
norte;2015;7;82.80000000000011
norte;2017;8;248.9999999999999
norte;2015;8;79.60000000000001
norte;2016;8;150.59999999999994
norte;2013;8;1.2
norte;2018;8;94.00000000000004
norte;2014;8;0.4
norte;2010;8;1.4
norte;2011;8;10.799999999999999
norte;2012;8;0.0
norte;2019;8;56.6
norte;2018;9;439.7999999999993
norte;2019;9;72.60000000000002
norte;2010;9;37.8
norte;2016;9;24.999999999999996
norte;2013;9;239.7999999999999
norte;2012;9;68.60000000000012
norte;2014;9;208.0
norte;2015;9;334.9999999999998
norte;2017;9;137.20000000000002
norte;2011;9;38.79999999999999
norte;2011;10;302.19999999999976
norte;2016;10;248.79999999999998
norte;2014;10;230.0
norte;2012;10;122.20000000000005
norte;2017;10;319.20000000000016
norte;2019;10;190.39999999999984
norte;2018;10;416.9999999999997
norte;2015;10;559.8
norte;2013;10;551.3999999999997
norte;2010;10;110.00000000000014
norte;2012;11;483.39999999999986
norte;2010;11;257.39999999999986
norte;2016;11;129.7999999999999
norte;2015;11;491.9999999999994
norte;2018;11;1203.8000000000027
norte;2013;11;534.8
norte;2014;11;827.6000000000012
norte;2017;11;596.4000000000009
norte;2019;11;480.7999999999984
norte;2011;11;206.0
norte;2016;12;156.6
norte;2012;12;638.0000000000002
norte;2018;12;644.5999999999998
norte;2014;12;1001.2000000000011
norte;2013;12;540.5999999999989
norte;2015;12;669.5999999999985
norte;2011;12;234.99999999999946
norte;2019;12;1025.0000000000014
norte;2010;12;62.40000000000001
norte;2017;12;556.1999999999987
