REGIAO;MES;ANO;PRECIPITACAO TOTAL
sudoeste;1;2010;216.20000000000002
sudoeste;1;2017;189.59999999999988
sudoeste;1;2016;614.6
sudoeste;1;2015;401.5999999999998
sudoeste;1;2011;0.0
sudoeste;1;2012;400.99999999999983
sudoeste;1;2013;115.0
sudoeste;1;2019;173.59999999999985
sudoeste;1;2018;374.4
sudoeste;1;2014;239.79999999999987
sudoeste;2;2012;483.1999999999995
sudoeste;2;2019;474.5999999999997
sudoeste;2;2013;430.19999999999993
sudoeste;2;2017;233.39999999999992
sudoeste;2;2011;44.00000000000003
sudoeste;2;2010;161.19999999999996
sudoeste;2;2018;112.40000000000006
sudoeste;2;2016;644.3999999999995
sudoeste;2;2015;363.3999999999999
sudoeste;2;2014;299.9999999999996
sudoeste;3;2015;265.79999999999984
sudoeste;3;2016;226.39999999999958
sudoeste;3;2018;49.60000000000004
sudoeste;3;2010;76.4
sudoeste;3;2012;446.5999999999996
sudoeste;3;2014;556.4000000000001
sudoeste;3;2017;50.80000000000006
sudoeste;3;2013;256.3999999999999
sudoeste;3;2019;722.1999999999992
sudoeste;3;2011;152.80000000000004
sudoeste;4;2013;652.6000000000006
sudoeste;4;2011;133.4
sudoeste;4;2016;67.00000000000001
sudoeste;4;2018;50.80000000000002
sudoeste;4;2010;28.999999999999993
sudoeste;4;2012;450.59999999999945
sudoeste;4;2017;161.40000000000003
sudoeste;4;2015;516.5999999999998
sudoeste;4;2019;642.399999999998
sudoeste;4;2014;321.0
sudoeste;5;2016;174.19999999999996
sudoeste;5;2018;375.59999999999985
sudoeste;5;2011;12.599999999999998
sudoeste;5;2012;345.39999999999964
sudoeste;5;2013;363.39999999999964
sudoeste;5;2015;499.1999999999996
sudoeste;5;2010;160.4
sudoeste;5;2014;657.0000000000006
sudoeste;5;2017;209.5999999999998
sudoeste;5;2019;290.9999999999992
sudoeste;6;2018;139.80000000000015
sudoeste;6;2017;50.60000000000002
sudoeste;6;2019;70.60000000000012
sudoeste;6;2013;544.1999999999997
sudoeste;6;2010;4.0
sudoeste;6;2014;348.39999999999947
sudoeste;6;2011;8.8
sudoeste;6;2015;236.99999999999983
sudoeste;6;2016;17.599999999999984
sudoeste;6;2012;523.5999999999996
sudoeste;7;2014;332.79999999999956
sudoeste;7;2018;4.800000000000002
sudoeste;7;2017;1.4
sudoeste;7;2016;41.599999999999994
sudoeste;7;2015;205.5999999999998
sudoeste;7;2019;198.40000000000015
sudoeste;7;2011;36.00000000000001
sudoeste;7;2010;14.399999999999997
sudoeste;7;2012;32.19999999999998
sudoeste;7;2013;47.600000000000016
sudoeste;8;2015;44.60000000000001
sudoeste;8;2012;20.599999999999998
sudoeste;8;2016;139.4
sudoeste;8;2017;64.00000000000001
sudoeste;8;2019;12.0
sudoeste;8;2010;0.4
sudoeste;8;2014;79.8
sudoeste;8;2013;6.800000000000001
sudoeste;8;2011;74.19999999999999
sudoeste;8;2018;145.00000000000006
sudoeste;9;2017;32.8
sudoeste;9;2015;456.19999999999953
sudoeste;9;2010;32.8
sudoeste;9;2019;48.60000000000001
sudoeste;9;2018;708.4000000000008
sudoeste;9;2016;49.0
sudoeste;9;2013;120.80000000000007
sudoeste;9;2011;232.79999999999993
sudoeste;9;2014;209.59999999999997
sudoeste;9;2012;133.4
sudoeste;10;2019;190.39999999999992
sudoeste;10;2013;629.9999999999998
sudoeste;10;2011;289.3999999999999
sudoeste;10;2012;311.39999999999986
sudoeste;10;2014;42.2
sudoeste;10;2010;61.800000000000004
sudoeste;10;2018;828.6000000000007
sudoeste;10;2015;395.5999999999995
sudoeste;10;2017;374.9999999999996
sudoeste;10;2016;209.59999999999994
sudoeste;11;2018;869.4000000000005
sudoeste;11;2016;204.99999999999994
sudoeste;11;2017;566.5999999999992
sudoeste;11;2010;161.39999999999998
sudoeste;11;2019;322.59999999999974
sudoeste;11;2014;699.9999999999999
sudoeste;11;2015;653.3999999999999
sudoeste;11;2012;306.19999999999993
sudoeste;11;2011;383.19999999999993
sudoeste;11;2013;570.0000000000001
sudoeste;12;2017;463.39999999999907
sudoeste;12;2015;564.3999999999997
sudoeste;12;2012;169.7999999999999
sudoeste;12;2014;392.79999999999984
sudoeste;12;2016;597.1999999999997
sudoeste;12;2013;332.79999999999984
sudoeste;12;2010;6.800000000000001
sudoeste;12;2019;597.8000000000005
sudoeste;12;2018;415.5999999999996
sudoeste;12;2011;188.79999999999993
